TIMESTAMP,PID,NAME,MEM_MB,PWR_W,GPU_TIME_MS
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.0,0.00
NOW,28920,"Unknown",17592186044415,3.0,1.04
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.1,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,28920,"Unknown",17592186044415,3.1,1.46
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,2.8,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.8,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.8,0.00
NOW,28920,"Unknown",17592186044415,2.8,0.99
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.0,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.0,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.0,0.00
NOW,28920,"Unknown",17592186044415,3.0,1.74
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.1,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,28920,"Unknown",17592186044415,3.1,3.71
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,3.1,0.04
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,15.4,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.4,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.4,0.00
NOW,28920,"Unknown",17592186044415,15.4,3.65
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,15.4,45.24
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,15.4,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.4,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.4,0.00
NOW,28920,"Unknown",17592186044415,15.4,1.16
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,15.4,3.55
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,15.4,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.4,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.4,0.00
NOW,28920,"Unknown",17592186044415,15.4,1.49
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,15.4,2.76
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,15.5,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.5,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.5,0.00
NOW,28920,"Unknown",17592186044415,15.5,1.08
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,15.5,2.29
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,15.5,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.5,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.5,0.00
NOW,28920,"Unknown",17592186044415,15.5,0.70
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,15.5,4.20
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,15.4,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.4,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,15.4,0.00
NOW,28920,"Unknown",17592186044415,15.4,0.87
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,15.4,2.91
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.1,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,28920,"Unknown",17592186044415,3.1,1.54
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,3.1,4.84
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.1,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.01
NOW,28920,"Unknown",17592186044415,3.1,0.97
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,3.1,6.10
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.2,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.2,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.2,0.00
NOW,28920,"Unknown",17592186044415,3.2,1.94
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,3.2,3.02
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.1,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,28920,"Unknown",17592186044415,3.1,1.04
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,3.1,5.36
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.1,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,28920,"Unknown",17592186044415,3.1,1.26
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,3.1,3.29
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.4,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.4,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.4,0.00
NOW,28920,"Unknown",17592186044415,3.4,0.97
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,3.4,2.40
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.1,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00
NOW,28920,"Unknown",17592186044415,3.1,1.26
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,3.1,4.93
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.3,0.00
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.3,0.00
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.3,0.00
NOW,28920,"Unknown",17592186044415,3.3,1.89
NOW,12360,"D:\Guardian_Gpu\build\Release\CudaWorkload.exe",17592186044415,3.3,3.90
